Abrasive Blasting,Boots,Smith,Boots Smith Oilfield Services LLC,4/13/09,12,P,100
Aerial Lifts,Boots,Smith,Boots Smith Oilfield Services LLC,3/23/09,12,P,100
Asbestos Awareness,Boots,Smith,Boots Smith Oilfield Services LLC,3/23/09,12,P,100
GFCI,Boots,Smith,Boots Smith Oilfield Services LLC,5/18/09,12,P,100
Behavior Based Safety,Boots,Smith,Boots Smith Oilfield Services LLC,3/23/11,12,P,100
Benzene Awareness,Boots,Smith,Boots Smith Oilfield Services LLC,5/11/09,12,P,100
Bloodborne Pathogens,Boots,Smith,Boots Smith Oilfield Services LLC,3/2/09,12,P,100
Confined Space / Permit Confined Space,Boots,Smith,Boots Smith Oilfield Services LLC,5/25/09,12,P,100
Cranes,Boots,Smith,Boots Smith Oilfield Services LLC,5/4/09,12,P,100
Disciplinary Program,Boots,Smith,Boots Smith Oilfield Services LLC,3/3/13,12,P,100
Driving Safety,Boots,Smith,Boots Smith Oilfield Services LLC,5/11/10,12,P,100
Electrical Safety Awareness,Boots,Smith,Boots Smith Oilfield Services LLC,3/9/09,12,P,100
Fall Protection,Boots,Smith,Boots Smith Oilfield Services LLC,3/16/09,12,P,100
Fatigue Management,Boots,Smith,Boots Smith Oilfield Services LLC,4/13/11,12,P,100
Fire Protection / Extinguishers,Boots,Smith,Boots Smith Oilfield Services LLC,3/2/09,12,P,100
First Aid,Boots,Smith,Boots Smith Oilfield Services LLC,6/7/09,12,P,100
Forklift & Industrial Trucks,Boots,Smith,Boots Smith Oilfield Services LLC,3/16/11,12,P,100
Gas Hazards,Boots,Smith,Boots Smith Oilfield Services LLC,4/16/11,12,P,100
General Waste Management,Boots,Smith,Boots Smith Oilfield Services LLC,4/20/11,12,P,100
Hand AND/OR Power Tools,Boots,Smith,Boots Smith Oilfield Services LLC,3/9/09,12,P,100
Hazard Communication - (HAZCOM),Boots,Smith,Boots Smith Oilfield Services LLC,1/26/09,12,P,100
Hazard Identification & Risk Assessment,Boots,Smith,Boots Smith Oilfield Services LLC,5/18/11,12,P,100
Hazardous Waste Operations / Emergency Response,Boots,Smith,Boots Smith Oilfield Services LLC,5/14/11,12,P,100
Hydrogen Sulfide - H2S,Boots,Smith,Boots Smith Oilfield Services LLC,6/7/09,12,P,100
In Plant Rail Safety,Boots,Smith,Boots Smith Oilfield Services LLC,4/27/11,12,P,100
Incident Investigation and Reporting,Boots,Smith,Boots Smith Oilfield Services LLC,3/30/11,12,P,100
Ladder Safety,Boots,Smith,Boots Smith Oilfield Services LLC,1/12/09,12,P,100
Lead,Boots,Smith,Boots Smith Oilfield Services LLC,1/19/09,12,P,100
Lead Awareness,Boots,Smith,Boots Smith Oilfield Services LLC,1/19/01,12,P,100
Lockout / Tagout,Boots,Smith,Boots Smith Oilfield Services LLC,6/14/09,12,P,100
Manual Lifting,Boots,Smith,Boots Smith Oilfield Services LLC,3/30/01,12,P,100
Mobile Equipment,Boots,Smith,Boots Smith Oilfield Services LLC,5/18/11,12,P,100
Natural Occurring Radioactive Material - (NORM),Boots,Smith,Boots Smith Oilfield Services LLC,3/30/11,12,P,100
Noise Awareness,Boots,Smith,Boots Smith Oilfield Services LLC,6/14/10,12,P,100
Noise Exposure / Hearing Conservation,Boots,Smith,Boots Smith Oilfield Services LLC,3/30/09,12,P,100
Personal Protective Equipment / Assessments - (PPE),Boots,Smith,Boots Smith Oilfield Services LLC,4/27/09,12,P,100
Respiratory Protection,Boots,Smith,Boots Smith Oilfield Services LLC,5/18/09,12,P,100
Rigging Material Handling,Boots,Smith,Boots Smith Oilfield Services LLC,4/20/09,12,P,100
Scaffolds,Boots,Smith,Boots Smith Oilfield Services LLC,4/6/09,12,P,100
Short Service Employee (SSE),Boots,Smith,Boots Smith Oilfield Services LLC,1/12/11,12,P,100
Spill Prevention / Response,Boots,Smith,Boots Smith Oilfield Services LLC,6/7/11,12,P,100
Stop Work Authority,Boots,Smith,Boots Smith Oilfield Services LLC,1/26/11,12,P,100
Subcontractor Management Plan,Boots,Smith,Boots Smith Oilfield Services LLC,5/18/11,12,P,100
Trenching / Shoring / Excavations,Boots,Smith,Boots Smith Oilfield Services LLC,3/16/09,12,P,100
Welding - Cutting - Hot Work,Boots,Smith,Boots Smith Oilfield Services LLC,5/11/09,12,P,100
Working Alone,Boots,Smith,Boots Smith Oilfield Services LLC,3/9/11,12,P,100
